"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED","inTulareBasin"
"CA1400036","KEELER COMMUNITY SERVICE DISTRICT","KEELER","INYO","93530","COMMUNITY","50","67","LPA44 - INYO COUNTY","1500079","MCL,  AVERAGE","ARSENIC","0.080 MG/L","0.010 MG/L","2017-10-01","2017-12-31","1500013","2016-03-21","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1400109","SIERRA NORTH COMMUNITY SERVICE DISTRICT","BISHOP","INYO","93514","COMMUNITY","35","16","LPA44 - INYO COUNTY","1400057","MCL,  AVERAGE","FLUORIDE","2.1 MG/L","2.0 MG/L","2016-07-01","2016-09-30","4","2016-04-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1500096","OLD RIVER MUTUAL WATER COMPANY","OLD RIVER","KERN","93311","COMMUNITY","48","14","DISTRICT 12 - VISALIA","9512022","MCL,  AVERAGE","COMBINED URANIUM","28.5 PCI/L","20 PCI/L","2016-07-01","2016-09-30","919008","2009-05-13","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500344","SOUTH KERN MUTUAL WATER COMPANY","OLD RIVER","KERN","93311","COMMUNITY","32","15","DISTRICT 12 - VISALIA","9612003","MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","2016-04-01","2016-06-30","9619004","2016-10-03","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500344","SOUTH KERN MUTUAL WATER COMPANY","OLD RIVER","KERN","93311","COMMUNITY","32","15","DISTRICT 12 - VISALIA","9612004","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000009 MG/L","0.000005 MG/L","2018-04-01","2018-06-30","9619006","2018-07-06","CA STATE ACTION ISSUED",true
"CA1500378","MAHER MUTUAL WATER COMPANY","BAKERSFIELD","KERN","93312","COMMUNITY","150","50","DISTRICT 12 - VISALIA","9812031","MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9819011","2015-05-26","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500393","RAINBIRD VALLEY MUTUAL WATER COMPANY","WELDON","KERN","93283","COMMUNITY","238","85","DISTRICT 19 - TEHACHAPI","9912020","MCL, SINGLE SAMPLE","NITRATE","20 MG/L","10 MG/L","2016-10-01","2016-12-31","9719004","2013-12-02","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500393","RAINBIRD VALLEY MUTUAL WATER COMPANY","WELDON","KERN","93283","COMMUNITY","238","85","DISTRICT 19 - TEHACHAPI","9912032","MCL,  AVERAGE","COMBINED URANIUM","50 PCI/L","20 PCI/L","2018-04-01","2018-06-30","9719004","2013-12-02","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500393","RAINBIRD VALLEY MUTUAL WATER COMPANY","WELDON","KERN","93283","COMMUNITY","238","85","DISTRICT 19 - TEHACHAPI","9912031","MCL, SINGLE SAMPLE","NITRATE-NITRITE","21 MG/L","10 MG/L","2018-04-01","2018-06-30","9719004","2013-12-02","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500401","METTLER COUNTY WATER DISTRICT","BAKERSFIELD","KERN","93313","COMMUNITY","157","43","DISTRICT 19 - TEHACHAPI","9619006","MCL, SINGLE SAMPLE","NITRATE","11.3 MG/L","10 MG/L","2017-01-01","2017-01-31","9519004","2017-09-22","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500401","METTLER COUNTY WATER DISTRICT","BAKERSFIELD","KERN","93313","COMMUNITY","157","43","DISTRICT 19 - TEHACHAPI","9619007","MCL, SINGLE SAMPLE","NITRATE-NITRITE","13 MG/L","10 MG/L","2018-01-01","2018-03-31","9519004","2017-09-22","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500409","BROCK MUTUAL WATER COMPANY","BAKESRFIELD","KERN","93312","COMMUNITY","511","155","DISTRICT 12 - VISALIA","9812008","MCL, SINGLE SAMPLE","NITRATE","49 MG/L","45 MG/L","2015-01-01","2015-03-31","9819014","2016-08-22","STATE INTENTIONAL NO ACTION TAKEN",true
"CA1500409","BROCK MUTUAL WATER COMPANY","BAKESRFIELD","KERN","93312","COMMUNITY","511","155","DISTRICT 12 - VISALIA","9812017","MCL, SINGLE SAMPLE","NITRATE-NITRITE","12 MG/L","10 MG/L","2017-10-01","2017-12-31","9819013","2016-06-24","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500409","BROCK MUTUAL WATER COMPANY","BAKESRFIELD","KERN","93312","COMMUNITY","511","155","DISTRICT 12 - VISALIA","9812018","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000110 MG/L","0.00005 MG/L","2018-01-01","2018-03-31","9819018","2018-02-27","CA STATE ACTION ISSUED",true
"CA1500409","BROCK MUTUAL WATER COMPANY","BAKESRFIELD","KERN","93312","COMMUNITY","511","155","DISTRICT 12 - VISALIA","9812020","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2018-01-01","2018-03-31","9819017","2018-02-27","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500424","LANDS OF PROMISE MWC","ROSAMOND","KERN","93560","COMMUNITY","171","65","DISTRICT 19 - TEHACHAPI","9712029","MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9719008","2015-12-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1500436","HUNGRY GULCH MWC","WOFFORD HEIGHTS","KERN","93285","COMMUNITY","36","38","DISTRICT 19 - TEHACHAPI","9919032","MCL,  AVERAGE","ARSENIC","0.077 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9619008","2018-08-10","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500442","SUNSET APARTMENTS WS","NORTH EDWARDS","KERN","93523","COMMUNITY","37","20","DISTRICT 19 - TEHACHAPI","9612033","MCL,  AVERAGE","ARSENIC","0.042 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9719008","2015-09-02","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1500455","WILLIAM FISHER MEMORIAL WATER COMPANY","MOJAVE","KERN","93501","COMMUNITY","56","16","DISTRICT 19 - TEHACHAPI","9912026","MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9819003","2017-11-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1500458","R.S. MUTUAL WATER COMPANY","WOFFORD HEIGHTS","KERN","93285","COMMUNITY","67","24","DISTRICT 19 - TEHACHAPI","9612040","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2018-04-01","2018-06-30","919014","2009-01-23","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500458","R.S. MUTUAL WATER COMPANY","WOFFORD HEIGHTS","KERN","93285","COMMUNITY","67","24","DISTRICT 19 - TEHACHAPI","9612012","MCL, SINGLE SAMPLE","NITRATE","46 MG/L","45 MG/L","2014-04-01","2014-06-30","9619007","2013-11-19","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500458","R.S. MUTUAL WATER COMPANY","WOFFORD HEIGHTS","KERN","93285","COMMUNITY","67","24","DISTRICT 19 - TEHACHAPI","9612041","MCL,  AVERAGE","COMBINED URANIUM","33 PCI/L","20 PCI/L","2018-04-01","2018-06-30","419009","2003-08-13","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500458","R.S. MUTUAL WATER COMPANY","WOFFORD HEIGHTS","KERN","93285","COMMUNITY","67","24","DISTRICT 19 - TEHACHAPI","9612039","MCL, SINGLE SAMPLE","NITRATE-NITRITE","12 MG/L","10 MG/L","2018-04-01","2018-06-30","9619007","2013-11-19","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500459","LAKE OF THE WOODS MOBILE VILLAGE","LAKE OF THE WOODS","KERN","93225","COMMUNITY","82","86","DISTRICT 19 - TEHACHAPI","9619009","MCL,  AVERAGE","NITRATE","12 MG/L","10 MG/L","2017-01-01","2017-03-31","719010","2016-01-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500459","LAKE OF THE WOODS MOBILE VILLAGE","LAKE OF THE WOODS","KERN","93225","COMMUNITY","82","86","DISTRICT 19 - TEHACHAPI","9619011","MCL, SINGLE SAMPLE","NITRATE-NITRITE","11 MG/L","10 MG/L","2017-07-01","2017-09-30","719010","2016-01-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500461","FOUNTAIN TRAILER PARK WATER","NORTH EDWARDS","KERN","93523","COMMUNITY","68","33","DISTRICT 19 - TEHACHAPI","9919036","MCL,  AVERAGE","ARSENIC","0.073 MG/L","0.010 MG/L","2018-04-01","2018-06-30","919019","2009-01-23","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1500475","KRISTA MUTUAL WATER COMPANY","FRAZIER PARK","KERN","93225","COMMUNITY","462","170","DISTRICT 19 - TEHACHAPI","9912011","MCL,  AVERAGE","FLUORIDE","2.1 MG/L","2.0 MG/L","2018-04-01","2018-06-30","9919011","2018-03-06","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500493","EL ADOBE POA, INC.","BAKERSFIELD","KERN","93307","COMMUNITY","200","80","DISTRICT 12 - VISALIA","9619027","MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9619006","2015-05-27","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500494","WILSON ROAD WATER COMMUNITY","BAKERSFIELD","KERN","93386","COMMUNITY","66","20","DISTRICT 12 - VISALIA","9812018","MCL, SINGLE SAMPLE","NITRATE","57 MG/L","45 MG/L","2015-04-01","2015-06-30","919016","2009-02-24","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500494","WILSON ROAD WATER COMMUNITY","BAKERSFIELD","KERN","93386","COMMUNITY","66","20","DISTRICT 12 - VISALIA","9812031","MCL, SINGLE SAMPLE","NITRATE-NITRITE","17 MG/L","10 MG/L","2018-04-01","2018-06-30","919016","2009-02-24","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500494","WILSON ROAD WATER COMMUNITY","BAKERSFIELD","KERN","93386","COMMUNITY","66","20","DISTRICT 12 - VISALIA","9812029","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000061 MG/L","0.000005 MG/L","2018-01-01","2018-03-31","9819013","2018-02-20","CA STATE ACTION ISSUED",true
"CA1500525","LAKEVIEW RANCHOS MUTUAL WATER COMPANY","WELDON","KERN","93283","COMMUNITY","120","71","DISTRICT 19 - TEHACHAPI","9912029","MCL,  AVERAGE","ARSENIC","0.033 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9719005","2015-03-10","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500525","LAKEVIEW RANCHOS MUTUAL WATER COMPANY","WELDON","KERN","93283","COMMUNITY","120","71","DISTRICT 19 - TEHACHAPI","9912007","MCL,  AVERAGE","COMBINED RADIUM (-226 & -228)","45 PCI/L","5 PCI/L","2013-07-01","2013-09-30","9719003","2013-11-19","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500525","LAKEVIEW RANCHOS MUTUAL WATER COMPANY","WELDON","KERN","93283","COMMUNITY","120","71","DISTRICT 19 - TEHACHAPI","9912030","MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","2018-04-01","2018-06-30","9719004","2014-06-17","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500544","ENOS LANE PUBLIC UTILITY DISTRICT","BAKERSFIELD","KERN","93312","COMMUNITY","270","95","DISTRICT 12 - VISALIA","9612011","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9719013","2018-08-10","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500561","ROUND MOUNTAIN WATER COMPANY","BAKERSFIELD","KERN","93308","COMMUNITY","50","17","DISTRICT 12 - VISALIA","9912026","MCL,  AVERAGE","COMBINED URANIUM","29.0 PCI/L","20 PCI/L","2016-07-01","2016-09-30","619016","2006-03-09","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500571","LUCKY 18 ON ROSAMOND, LLC","ROSAMOND","KERN","93560","COMMUNITY","73","60","DISTRICT 19 - TEHACHAPI","9812034","MCL,  AVERAGE","ARSENIC","0.039 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9819017","2017-04-25","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1500575","SAN JOAQUIN ESTATES MUTUAL WATER COMPANY","BAKERSFIELD","KERN","93387","COMMUNITY","165","61","DISTRICT 12 - VISALIA","9912019","MCL, SINGLE SAMPLE","NITRATE","67 MG/L","45 MG/L","2015-04-01","2015-06-30","119010","2000-12-01","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500575","SAN JOAQUIN ESTATES MUTUAL WATER COMPANY","BAKERSFIELD","KERN","93387","COMMUNITY","165","61","DISTRICT 12 - VISALIA","9912033","MCL, SINGLE SAMPLE","NITRATE-NITRITE","14 MG/L","10 MG/L","2018-07-01","2018-09-30","119010","2000-12-01","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500575","SAN JOAQUIN ESTATES MUTUAL WATER COMPANY","BAKERSFIELD","KERN","93387","COMMUNITY","165","61","DISTRICT 12 - VISALIA","9912030","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000084 MG/L","0.000005 MG/L","2018-01-01","2018-03-31","9919011","2018-02-21","CA STATE ACTION ISSUED",true
"CA1500584","GOOSELAKE WATER COMPANY","BAKERSFIELD","KERN","93312","COMMUNITY","90","32","DISTRICT 12 - VISALIA","9619006","MCL, SINGLE SAMPLE","NITRATE","49 MG/L","45 MG/L","2015-04-01","2015-06-30","919014","2009-02-09","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500584","GOOSELAKE WATER COMPANY","BAKERSFIELD","KERN","93312","COMMUNITY","90","32","DISTRICT 12 - VISALIA","9619008","MCL, SINGLE SAMPLE","NITRATE-NITRITE","11 MG/L","10 MG/L","2016-01-01","2016-03-31","919014","2009-02-09","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500585","OASIS PROPERTY OWNERS ASSOCIATION","BAKERSFIELD","KERN","93307","COMMUNITY","100","39","DISTRICT 12 - VISALIA","9512022","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9519007","2015-03-03","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500588","SON SHINE PROPERTIES","EDISON","KERN","93220","COMMUNITY","438","106","DISTRICT 12 - VISALIA","9919029","MCL, SINGLE SAMPLE","NITRATE","59 MG/L","45 MG/L","2015-07-01","2015-09-30","1219010","2012-07-03","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500588","SON SHINE PROPERTIES","EDISON","KERN","93220","COMMUNITY","438","106","DISTRICT 12 - VISALIA","9919026","MCL,  AVERAGE","1,2-DIBROMO-3-CHLOROPROPANE","0.00034 MG/L","0.0002 MG/L","2015-01-01","2015-03-31","9619003","2008-10-10","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500588","SON SHINE PROPERTIES","EDISON","KERN","93220","COMMUNITY","438","106","DISTRICT 12 - VISALIA","9919042","MCL, SINGLE SAMPLE","NITRATE-NITRITE","23 MG/L","10 MG/L","2018-07-01","2018-09-30","1219010","2012-07-03","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1500588","SON SHINE PROPERTIES","EDISON","KERN","93220","COMMUNITY","438","106","DISTRICT 12 - VISALIA","9919039","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000055 MG/L","0.000005 MG/L","2018-01-01","2018-03-31","9619007","2018-03-13","CA STATE ACTION ISSUED",true
"CA1502154","LAKESIDE SCHOOL","BAKERSFIELD","KERN","93311","NON-TRANSIENT NON-COMMUNITY","800","1","DISTRICT 12 - VISALIA","9712026","MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","2018-04-01","2018-06-30","919009","2009-01-23","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502229","RIO BRAVO GREELEY SCHOOL WATER SYSTEM","BAKERSFIELD","KERN","93312","NON-TRANSIENT NON-COMMUNITY","887","16","DISTRICT 12 - VISALIA","9612014","MCL, SINGLE SAMPLE","NITRATE-NITRITE","11 MG/L","10 MG/L","2017-04-01","2017-06-30","9619011","2015-10-12","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502229","RIO BRAVO GREELEY SCHOOL WATER SYSTEM","BAKERSFIELD","KERN","93312","NON-TRANSIENT NON-COMMUNITY","887","16","DISTRICT 12 - VISALIA","9612015","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000046 MG/L","0.000005 MG/L","2018-01-01","2018-03-31","9619013","2018-03-13","CA STATE ACTION ISSUED",true
"CA1502229","RIO BRAVO GREELEY SCHOOL WATER SYSTEM","BAKERSFIELD","KERN","93312","NON-TRANSIENT NON-COMMUNITY","887","16","DISTRICT 12 - VISALIA","9612016","MCL, SINGLE SAMPLE","MERCURY","11 MG/L","0.002 MG/L","2018-04-01","2018-06-30","9619011","2015-10-12","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502231","ROSAMOND SCHOOL WATER SYSTEM","ROSAMOND","KERN","93560","NON-TRANSIENT NON-COMMUNITY","940","2","DISTRICT 19 - TEHACHAPI","9812019","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2017-07-01","2017-09-30","9819006","2017-04-24","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1502232","ROSAMOND MOBILEHOME PARK","ROSAMOND","KERN","93560","COMMUNITY","175","79","DISTRICT 19 - TEHACHAPI","9619010","MCL,  AVERAGE","COMBINED URANIUM","38 PCI/L","20 PCI/L","2018-04-01","2018-06-30","719007","2007-08-13","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1502247","DESERT BREEZE MOBILE HOME ESTATES","ROSAMOND","KERN","93560","COMMUNITY","82","63","DISTRICT 19 - TEHACHAPI","9912006","MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","2018-01-01","2018-03-31","9919008","2018-04-18","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1502383","NORD ROAD WATER ASSOCIATION","BAKERSFIELD","KERN","93312","COMMUNITY","32","16","DISTRICT 12 - VISALIA","9912042","MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9919019","2015-05-26","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502569","FIRST MUTUAL WATER SYSTEM","ROSAMOND","KERN","93560","COMMUNITY","35","15","DISTRICT 19 - TEHACHAPI","9619031","MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","2018-04-01","2018-06-30","1119023","2015-05-26","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1502607","PIUTE MOUNTAIN SCHOOL WATER","CALIENTE","KERN","93518","NON-TRANSIENT NON-COMMUNITY","50","5","DISTRICT 19 - TEHACHAPI","9619021","MCL,  AVERAGE","FLUORIDE","3.0 MG/L","2.0 MG/L","2018-04-01","2018-06-30","1019018","2010-12-10","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502699","EAST WILSON ROAD WATER COMPANY","BAKERSFIELD","KERN","93307","COMMUNITY","35","14","DISTRICT 12 - VISALIA","9412015","MCL, SINGLE SAMPLE","NITRATE","55 MG/L","45 MG/L","2015-07-01","2015-09-30","219008","2001-10-04","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502699","EAST WILSON ROAD WATER COMPANY","BAKERSFIELD","KERN","93307","COMMUNITY","35","14","DISTRICT 12 - VISALIA","9412033","MCL, SINGLE SAMPLE","NITRATE-NITRITE","12 MG/L","10 MG/L","2018-04-01","2018-06-30","219008","2001-10-04","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1502699","EAST WILSON ROAD WATER COMPANY","BAKERSFIELD","KERN","93307","COMMUNITY","35","14","DISTRICT 12 - VISALIA","9412030","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000015 MG/L","0.000005 MG/L","2018-01-01","2018-03-31","9519010","2018-03-15","CA STATE ACTION ISSUED",true
"CA1502744","60TH STREET ASSOC. WATER SYSTEM","ROSAMOND","KERN","93560","COMMUNITY","39","10","DISTRICT 19 - TEHACHAPI","1119011","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2018-04-01","2018-06-30","1119001","2011-07-19","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1503140","FRAZIER MOUNTAIN HIGH SCHOOL","LEBEC","KERN","93243","NON-TRANSIENT NON-COMMUNITY","500","1","DISTRICT 19 - TEHACHAPI","9612016","MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","2018-04-01","2018-06-30","9719003","2017-01-06","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1503140","FRAZIER MOUNTAIN HIGH SCHOOL","LEBEC","KERN","93243","NON-TRANSIENT NON-COMMUNITY","500","1","DISTRICT 19 - TEHACHAPI","9612017","MCL,  AVERAGE","FLUORIDE","2.1 MG/L","2.0 MG/L","2018-04-01","2018-06-30","9719004","2017-08-16","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1503226","QUAIL VALLEY WATER DIST-WESTSIDE SYSTEM","TEHACHAPI","KERN","93561","COMMUNITY","88","40","DISTRICT 19 - TEHACHAPI","1119026","MCL,  AVERAGE","ANTIMONY, TOTAL","0.011 MG/L","0.006 MG/L","2018-04-01","2018-06-30","819008","2008-03-27","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1503226","QUAIL VALLEY WATER DIST-WESTSIDE SYSTEM","TEHACHAPI","KERN","93561","COMMUNITY","88","40","DISTRICT 19 - TEHACHAPI","1119025","MCL,  AVERAGE","FLUORIDE","6.8 MG/L","2.0 MG/L","2018-04-01","2018-06-30","819008","2008-03-27","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1510001","ARVIN COMMUNITY SERVICES DIST","ARVIN","KERN","93203","COMMUNITY","20850","3885","DISTRICT 12 - VISALIA","9912047","MCL,  AVERAGE","ARSENIC","0.045 MG/L","0.010 MG/L","2018-04-01","2018-06-30","US EPA#PWS-AOC-2015-6001","2015-09-29","US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT",true
"CA1510002","BORON CSD","BORON","KERN","93596","COMMUNITY","2253","588","DISTRICT 19 - TEHACHAPI","9919034","MCL,  AVERAGE","ARSENIC","0.041 MG/L","0.010 MG/L","2018-04-01","2018-06-30","919011","2015-03-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1510012","LAMONT PUBLIC UTILITY DIST","LAMONT","KERN","93241","COMMUNITY","19057","3300","DISTRICT 12 - VISALIA","9512013","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2017-10-01","2017-12-31","9512006","2017-05-15","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510012","LAMONT PUBLIC UTILITY DIST","LAMONT","KERN","93241","COMMUNITY","19057","3300","DISTRICT 12 - VISALIA","9512014","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000064 MG/L","NA","2018-01-01","2018-03-31","9512008","2018-05-18","CA STATE ACTION ISSUED",true
"CA1510016","RAND COMMUNITIES WATER DISTRICT","JOHANESBURG","KERN","93528","COMMUNITY","450","249","DISTRICT 19 - TEHACHAPI","9912034","MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9919018","2015-03-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1510023","LAKE OF THE WOODS MWC","FRAZIER PARK","KERN","93225","COMMUNITY","1058","371","DISTRICT 19 - TEHACHAPI","9812014","MCL,  AVERAGE","NITRATE","14 MG/L","10 MG/L","2017-01-01","2017-03-31","9819015","2016-12-02","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510023","LAKE OF THE WOODS MWC","FRAZIER PARK","KERN","93225","COMMUNITY","1058","371","DISTRICT 19 - TEHACHAPI","9812020","MCL, SINGLE SAMPLE","NITRATE-NITRITE","11 MG/L","10 MG/L","2018-04-01","2018-06-30","9819015","2016-12-02","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510023","LAKE OF THE WOODS MWC","FRAZIER PARK","KERN","93225","COMMUNITY","1058","371","DISTRICT 19 - TEHACHAPI","9812021","MCL,  AVERAGE","FLUORIDE","2.1 MG/L","2.0 MG/L","2018-04-01","2018-06-30","9819016","2017-06-19","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510024","GREENFIELD COUNTY WD","BAKERSFIELD","KERN","93307","COMMUNITY","9900","3021","DISTRICT 12 - VISALIA","9512027","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","2018-04-01","2018-06-30","9512006","2015-05-28","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510033","CWS - KERNVILLE","KERNVILLE","KERN","93238","COMMUNITY","2491","1796","DISTRICT 19 - TEHACHAPI","119010","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.064 MG/L","0.060 MG/L","2018-01-01","2018-03-31","9419003","2016-10-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510051","LEBEC COUNTY WATER DISTRICT","LEBEC","KERN","93243","COMMUNITY","1468","299","DISTRICT 19 - TEHACHAPI","9912032","MCL,  AVERAGE","COMBINED URANIUM","23 PCI/L","20 PCI/L","2018-04-01","2018-06-30","9919015","2016-01-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510051","LEBEC COUNTY WATER DISTRICT","LEBEC","KERN","93243","COMMUNITY","1468","299","DISTRICT 19 - TEHACHAPI","9912033","MCL,  AVERAGE","FLUORIDE","2.1 MG/L","2.0 MG/L","2018-04-01","2018-06-30","9919015","2016-01-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510052","NORTH EDWARDS WD","NORTH EDWARDS","KERN","93523","COMMUNITY","600","228","DISTRICT 19 - TEHACHAPI","9712023","MCL,  AVERAGE","ARSENIC","0.034 MG/L","0.010 MG/L","2018-04-01","2018-06-30","919015","2009-01-23","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1510054","PINON PINES MWC","FRAZIER PARK","KERN","93225","COMMUNITY","644","273","DISTRICT 19 - TEHACHAPI","9712007","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","2014-07-01","2014-09-30","1119033","2011-04-22","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1510054","PINON PINES MWC","FRAZIER PARK","KERN","93225","COMMUNITY","644","273","DISTRICT 19 - TEHACHAPI","9712022","MCL,  AVERAGE","FLUORIDE","3.1 MG/L","2.0 MG/L","2018-04-01","2018-06-30","1119033","2011-04-22","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1600008","CENTRAL UNION ELEMENTARY","LEMOORE","KINGS","93245","NON-TRANSIENT NON-COMMUNITY","320","3","LPA46 - KINGS COUNTY","9900012","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","2018-07-01","2018-09-30","1500256","2015-02-05","FORMAL ENFORCEMENT ACTION ISSUED",true
